key,atom,cluster0,cluster1,cluster2,cluster3
3D-194,0,0.9999999705213396,2.9478641982602175e-08,1.8261776008314374e-14,0.0
3D-194,1,0.9999987236476243,1.2763523760807203e-06,1.5053357731633916e-23,0.0
3D-194,2,0.9999998968903814,1.031096183349785e-07,2.0482215709445363e-22,0.0
3D-194,3,4.0256341169391334e-19,1.0,6.382379123983111e-71,0.0
3D-194,4,1.2075116713963809e-15,0.9999999999999991,1.6321202289076204e-65,0.0
3D-194,5,0.9999721104266768,2.7889573323499956e-05,3.9974047216716015e-23,0.0
3D-194,6,0.9999992205175916,7.794824083782971e-07,1.6443660570046694e-19,0.0
3D-194,7,0.999999983813893,1.6186107059294485e-08,1.1980236220742563e-20,0.0
3D-195,0,5.1271444663428983e-20,1.0,1.4180117293640613e-70,0.0
3D-195,1,8.846941565024546e-06,0.9999911530584351,7.345574311155564e-38,0.0
3D-195,2,2.265444289670886e-09,0.9999999977345557,7.137155207043554e-48,0.0
3D-195,3,3.84149937840782e-07,0.999999615850062,4.220111618127129e-48,0.0
3D-195,4,7.516483978385105e-09,0.9999999924835161,1.76600522794031e-49,0.0
3D-195,5,4.003099359005818e-28,1.0,2.6545335453490567e-85,0.0
3D-195,6,1.1061880118534192e-18,1.0,1.316136677324776e-67,0.0
3D-195,7,0.9896440684648655,0.010355931535134455,1.1153820323377992e-25,0.0
3D-196,0,1.2948500171810588e-10,0.9999999998705151,7.71455360839915e-56,0.0
3D-196,1,3.1860742606206542e-15,0.9999999999999973,1.0761891854343826e-61,0.0
3D-196,2,5.293559816540738e-13,0.9999999999994706,3.1050557885804246e-59,0.0
3D-196,3,7.735686732618323e-13,0.9999999999992264,6.144752407111169e-59,0.0
3D-196,4,1.30221398204238e-10,0.9999999998697788,7.790006419811067e-56,0.0
3D-196,5,3.1787514089402707e-15,0.9999999999999973,1.07133075603294e-61,0.0
3D-196,6,5.270018234981479e-13,0.9999999999994733,3.0791863806622784e-59,0.0
3D-196,7,7.666914115922726e-13,0.9999999999992335,6.042523667119109e-59,0.0
3D-197,0,0.99998565764238,1.4342357620369647e-05,3.3106983724413665e-26,0.0
3D-197,1,0.9999994136881489,5.863118507719948e-07,3.2106825045304986e-23,0.0
3D-197,2,0.9999820059349609,1.799406503947695e-05,2.1427380004832973e-29,0.0
3D-197,3,0.9999977411235732,2.258876426900888e-06,1.0281868364524293e-23,0.0
3D-197,4,0.9999029375660752,9.706243392501652e-05,6.144720829315712e-28,0.0
3D-197,5,0.9999788232663815,2.117673361874839e-05,5.4714770700280405e-24,0.0
3D-197,6,0.9999787110490423,2.1288950957912652e-05,1.2711776535793722e-30,0.0
3D-197,7,0.9999989686282323,1.031371767522957e-06,5.556736783363862e-25,0.0
3D-198,0,0.9999939054077064,6.094592293891097e-06,4.0696240888869557e-22,0.0
3D-198,1,0.9999999904846848,9.515315310587944e-09,1.0493874185804039e-17,0.0
3D-198,2,1.958408121102668e-17,1.0,1.3075341899603184e-67,0.0
3D-198,3,0.9999999905461312,9.453868720723815e-09,1.0906923707311763e-17,0.0
3D-198,4,0.9999994197920645,5.802079351297358e-07,1.7384315461635357e-24,0.0
3D-198,5,0.9999938965526579,6.103447341560537e-06,4.0864746772036068e-22,0.0
3D-198,6,0.999999413047564,5.869524355972082e-07,1.686443629281004e-24,0.0
3D-198,7,1.901634273394016e-17,1.0,1.2215339983661385e-67,0.0
3D-199,0,0.03431643889044493,0.9656835611095551,2.583813762311365e-33,0.0
3D-199,1,0.9952713514740298,0.004728648525970237,1.0432603902025906e-24,0.0
3D-199,2,0.11000463806075145,0.8899953619392487,9.538506660741889e-36,0.0
3D-199,3,0.9991308589125971,0.0008691410874030463,1.592512248194047e-25,0.0
3D-199,4,1.754111201681722e-11,0.9999999999824589,3.02799518748685e-53,0.0
3D-199,5,0.9999542446787602,4.5755321239900056e-05,1.3706817874033751e-24,0.0
3D-199,6,2.4415532892083226e-07,0.9999997558446712,2.2371611596573897e-45,0.0
3D-199,7,5.592558208530912e-12,0.9999999999944071,5.807786546229341e-55,0.0
3D-200,0,0.9999987236382516,1.276361748410503e-06,5.1657291000418337e-17,0.0
3D-200,1,4.843273688648707e-14,0.999999999999952,1.521954359745463e-59,0.0
3D-200,2,2.154639257387245e-15,0.9999999999999982,2.657576291306993e-60,0.0
3D-200,3,0.9999987018934312,1.2981065689017248e-06,4.8536377334161625e-17,0.0
3D-200,4,2.163354195787874e-15,0.9999999999999982,2.695471799719445e-60,0.0
3D-200,5,0.9999931808370855,6.819162914156481e-06,8.026478290454315e-23,0.0
3D-200,6,4.754398842938492e-14,0.9999999999999529,1.4962023545427159e-59,0.0
3D-200,7,0.9999998628697423,1.3713025774202804e-07,3.912256710647621e-19,0.0
3D-201,0,0.0016681031639789927,0.998331896836021,1.3765830523765553e-37,0.0
3D-201,1,1.223963298401092e-08,0.9999999877603672,1.460305309235179e-49,0.0
3D-201,2,0.9999995098538881,4.901461115231829e-07,4.0619585432807124e-19,0.0
3D-201,3,4.874020364493905e-15,0.9999999999999956,5.92514777214741e-62,0.0
3D-201,4,0.99999961066568,3.8933431964077016e-07,2.4097377117059947e-22,0.0
3D-201,5,4.743134532375263e-19,1.0,1.0563756388961389e-76,0.0
3D-201,6,3.977156222028585e-07,0.9999996022843778,9.979684921283184e-49,0.0
3D-201,7,2.6812681449870154e-12,0.999999999997319,2.3522245889047487e-53,0.0
3D-202,0,1.690053502188928e-29,8.76256824345827e-33,1.0,6.170955907139183e-166
3D-202,1,0.9999999728652907,2.713470891679333e-08,5.161047734769881e-16,0.0
3D-202,2,2.879578743945339e-33,2.472457487233679e-35,1.0,1.6284911056600812e-147
3D-202,3,0.9999998488545189,1.5114548134785922e-07,6.645770819656753e-22,0.0
3D-202,4,1.5625527667357414e-34,2.0658520965012963e-36,1.0,5.081707508762653e-142
3D-202,5,2.5278555137982853e-12,0.9999999999974722,1.8457802556783358e-61,0.0
3D-202,6,0.9999998736333175,1.263666826891104e-07,2.533274983057303e-19,0.0
3D-202,7,0.9999973726738869,2.627326113358284e-06,2.994662833531281e-24,0.0
3D-203,0,9.888447401486709e-22,1.0,9.551851124191221e-70,0.0
3D-203,1,0.9996143245378297,0.0003856754621703654,2.6425834846904456e-24,0.0
3D-203,2,2.6350523357700236e-20,1.0,5.596405179881669e-69,0.0
3D-203,3,1.1146841258565302e-07,0.9999998885315873,2.7872702633658677e-46,0.0
3D-203,4,0.9999999754867727,2.358096194385452e-08,9.322653297318045e-10,0.0
3D-203,5,0.036246320764851604,0.9637536792351484,2.825416141922057e-35,0.0
3D-203,6,3.3186095666411173e-21,1.0,8.849604778549217e-69,0.0
3D-203,7,3.696070957792767e-14,0.9999999999999636,2.4535317424213085e-58,0.0
3D-204,0,0.9999995864268529,4.135731469018351e-07,1.7093378459805224e-21,0.0
3D-204,1,3.400476333666718e-26,1.0,1.8704513369347774e-78,0.0
3D-204,2,0.9999995842023232,4.157976768720069e-07,1.7249268896210514e-21,0.0
3D-204,3,0.9999940606801138,5.939319886403116e-06,3.435143440336829e-20,0.0
3D-204,4,3.210639937747067e-26,1.0,1.6529395484295245e-78,0.0
3D-204,5,0.9986736794596225,0.001326320540377282,9.955813337029563e-29,0.0
3D-204,6,0.998539900613514,0.00146009938648587,8.63964116844109e-29,0.0
3D-204,7,0.9999939229476903,6.077052309602409e-06,3.536086182198107e-20,0.0
3D-205,0,0.9999999666447082,3.335529178250149e-08,3.422565232096818e-17,0.0
3D-205,1,1.2854445987783707e-16,1.0,1.586256609551472e-68,0.0
3D-205,2,9.560244225438873e-12,0.9999999999904396,9.913880786210142e-56,0.0
3D-205,3,0.9999999846761402,1.5323859755512076e-08,5.915278468431292e-17,0.0
3D-205,4,4.5801748666042634e-09,3.6945300194573205e-17,0.9999999954198251,5.637330680010753e-293
3D-205,5,0.00033957764985121226,0.9996604223501486,7.244172918050616e-41,0.0
3D-205,6,0.9999921848723687,7.815127630778749e-06,1.0183634453725859e-25,0.0
3D-205,7,3.050435876271843e-13,0.9999999999996954,1.2093957134522668e-58,0.0
3D-206,0,0.9999999643470365,3.565296334706794e-08,7.096432164526237e-19,0.0
3D-206,1,2.648190962672563e-15,0.9999999999999973,1.750219999631194e-63,0.0
3D-206,2,5.5783046908329034e-14,0.999999999999944,4.203230059263042e-62,0.0
3D-206,3,4.857770929188807e-13,0.9999999999995142,6.389465204225777e-63,0.0
3D-206,4,6.378202739928881e-16,0.9999999999999991,3.6772707601200567e-65,0.0
3D-206,5,2.0483502797092125e-20,1.0,6.270273845742858e-67,0.0
3D-206,6,5.877575534516836e-21,1.0,6.443574030065029e-75,0.0
3D-206,7,0.9999962642691335,3.7357308662931547e-06,4.9687200710099485e-22,0.0
3D-207,0,0.0009625152542992283,0.9990374847457008,6.377254074043318e-39,0.0
3D-207,1,0.9999992294348063,7.705651939845906e-07,2.117412257343835e-21,0.0
3D-207,2,0.9999999039316008,9.606839881636982e-08,9.750668247468284e-18,0.0
3D-207,3,0.9999997632356266,2.367643732894193e-07,3.765576458829639e-17,0.0
3D-207,4,4.1001961335043774e-24,1.0,7.225414571262822e-75,0.0
3D-207,5,0.9999962620780224,3.737921978034058e-06,2.2144491166177966e-24,0.0
3D-207,6,8.396274618080134e-12,0.999999999991604,7.23259387530329e-58,0.0
3D-207,7,6.033530955935101e-20,1.0,4.6279668166287116e-69,0.0
3D-208,0,0.9999972377469625,2.7622530376748278e-06,2.035138455052406e-22,0.0
3D-208,1,2.057190746327092e-18,1.0,2.6858632145355917e-68,0.0
3D-208,2,0.9999972241783489,2.775821651088096e-06,2.028301135328487e-22,0.0
